// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
38386		7.162202	-2.138622	6.306131	-0.000918	-0.013949	0.007245	-0.086670	0.392578	-0.498291	0.856047	-0.247076	-0.341311	-0.299406
38387		7.196309	-2.130890	6.336099	0.007481	-0.023483	0.006587	-0.085693	0.397217	-0.499268	0.856012	-0.247100	-0.341484	-0.299290
38388		7.215748	-2.139617	6.385329	0.006784	-0.012109	0.007798	-0.087646	0.398438	-0.498535	0.856011	-0.247108	-0.341568	-0.299190
38389		7.150100	-2.102557	6.388668	0.006593	-0.006156	0.000404	-0.083496	0.395996	-0.507080	0.856008	-0.247077	-0.341628	-0.299156
38390		7.144837	-2.064614	6.371103	0.000851	-0.009826	-0.002959	-0.083740	0.408691	-0.496582	0.855975	-0.247085	-0.341705	-0.299155
38391		7.134039	-2.100111	6.397748	-0.007708	-0.001131	-0.003644	-0.078125	0.401367	-0.498047	0.855949	-0.247127	-0.341699	-0.299203
38392		7.141510	-2.091965	6.387932	-0.009294	0.001192	-0.007061	-0.087646	0.399414	-0.496826	0.855918	-0.247162	-0.341677	-0.299285
38393		7.186990	-2.108440	6.386245	-0.012638	0.008967	-0.008918	-0.093506	0.398682	-0.498535	0.855901	-0.247192	-0.341593	-0.299408
38394		7.202409	-2.158504	6.423690	-0.009204	0.018879	-0.008392	-0.084961	0.397705	-0.507080	0.855920	-0.247171	-0.341443	-0.299539
38395		7.073636	-2.113070	6.368469	-0.007038	0.019961	-0.009362	-0.081787	0.405029	-0.502686	0.855947	-0.247127	-0.341291	-0.299672
38396		7.135572	-2.135794	6.398815	-0.008475	0.013550	-0.002790	-0.084961	0.401123	-0.506836	0.855972	-0.247125	-0.341160	-0.299751
38397		7.126676	-2.144896	6.409884	-0.007841	0.017613	-0.000496	-0.090820	0.396484	-0.504883	0.856018	-0.247111	-0.340992	-0.299821
38398		7.178764	-2.112193	6.415626	-0.007866	0.022996	-0.000358	-0.086182	0.401611	-0.501953	0.856084	-0.247082	-0.340779	-0.299901
38399		7.140548	-2.106882	6.419282	-0.007849	0.031163	-0.002819	-0.087646	0.404297	-0.501953	0.856167	-0.247020	-0.340511	-0.300018
38400		7.200757	-2.123003	6.389717	-0.007853	0.031875	-0.005915	-0.085205	0.398438	-0.506104	0.856248	-0.246942	-0.340239	-0.300160
38401		7.160814	-2.156263	6.358562	-0.004286	0.034469	-0.001581	-0.086914	0.401123	-0.497070	0.856355	-0.246841	-0.339949	-0.300267
38402		7.116224	-2.103468	6.263753	0.001724	0.027032	-0.006062	-0.090332	0.394531	-0.495850	0.856439	-0.246708	-0.339739	-0.300374
38403		7.174273	-2.106618	6.287093	0.000394	0.020797	-0.004825	-0.091064	0.401123	-0.500244	0.856502	-0.246604	-0.339574	-0.300465
38404		7.143412	-2.128159	6.224289	0.007264	0.014242	-0.002208	-0.084229	0.402100	-0.495117	0.856567	-0.246474	-0.339474	-0.300503
38405		7.220423	-2.130169	6.215319	0.013593	0.008479	-0.003987	-0.086670	0.397949	-0.500977	0.856616	-0.246322	-0.339443	-0.300521
38406		7.194875	-2.132239	6.216219	0.018768	0.005486	-0.005642	-0.093018	0.402344	-0.504883	0.856659	-0.246137	-0.339463	-0.300528
38407		7.234551	-2.112779	6.239785	0.016314	-0.001949	-0.010601	-0.084717	0.397949	-0.498047	0.856657	-0.245977	-0.339556	-0.300560
38408		7.251774	-2.155558	6.234957	0.009426	-0.003562	-0.010759	-0.077148	0.396973	-0.498291	0.856627	-0.245885	-0.339653	-0.300609
38409		7.267559	-2.138523	6.236037	0.006589	-0.010076	-0.015675	-0.088623	0.397217	-0.502197	0.856560	-0.245828	-0.339804	-0.300679
38410		7.310461	-2.184303	6.292438	0.001412	-0.007792	-0.010928	-0.088135	0.403564	-0.502930	0.856488	-0.245814	-0.339941	-0.300738
38411		7.236417	-2.196426	6.290173	-0.005076	-0.003580	-0.007403	-0.078613	0.393799	-0.494873	0.856417	-0.245861	-0.340033	-0.300798
38412		7.199147	-2.168962	6.260665	-0.000840	-0.013731	-0.007857	-0.093750	0.405273	-0.496582	0.856335	-0.245911	-0.340191	-0.300813
38413		7.158308	-2.173160	6.289433	-0.001038	-0.018060	-0.003510	-0.092529	0.402344	-0.502930	0.856227	-0.246005	-0.340395	-0.300811
38414		7.125414	-2.166701	6.287425	0.007918	-0.028382	0.000247	-0.084473	0.393066	-0.501953	0.856122	-0.246066	-0.340692	-0.300726
38415		7.157525	-2.141248	6.328747	0.014109	-0.029641	0.007026	-0.081787	0.399658	-0.499023	0.856064	-0.246089	-0.340979	-0.300546
38416		7.186136	-2.094856	6.341540	0.015589	-0.022562	0.007127	-0.082275	0.411377	-0.492920	0.856031	-0.246097	-0.341198	-0.300386
38417		7.180316	-2.100341	6.328998	0.011396	-0.009632	0.004983	-0.089355	0.399902	-0.498535	0.856009	-0.246124	-0.341297	-0.300312
38418		7.085570	-2.084896	6.267321	0.015478	-0.011747	-0.002383	-0.082764	0.401123	-0.506104	0.855974	-0.246075	-0.341472	-0.300255
38419		7.108291	-2.101234	6.242901	0.007711	-0.021709	-0.010251	-0.086670	0.403320	-0.499756	0.855884	-0.246069	-0.341704	-0.300251
38420		7.120949	-2.157293	6.285685	0.009074	-0.033690	-0.012395	-0.092529	0.395996	-0.500488	0.855751	-0.246094	-0.342022	-0.300247
38421		7.178414	-2.169065	6.332166	0.009907	-0.038130	-0.015219	-0.087646	0.403320	-0.500244	0.855603	-0.246099	-0.342400	-0.300235
38422		7.199441	-2.214097	6.343747	0.005815	-0.034597	-0.014043	-0.080811	0.405029	-0.497070	0.855460	-0.246150	-0.342707	-0.300249
38423		7.138829	-2.235244	6.337752	0.005086	-0.030676	-0.013469	-0.087891	0.397461	-0.494873	0.855346	-0.246206	-0.342942	-0.300262
38424		7.135765	-2.241528	6.343331	0.003441	-0.038581	-0.014922	-0.091553	0.395020	-0.506592	0.855203	-0.246275	-0.343253	-0.300255
38425		7.138912	-2.283134	6.345062	0.000788	-0.030054	-0.014134	-0.091553	0.406738	-0.496582	0.855080	-0.246321	-0.343524	-0.300259
38426		7.128297	-2.300674	6.381096	-0.003390	-0.030671	-0.013939	-0.085449	0.405029	-0.502930	0.854931	-0.246477	-0.343737	-0.300312
38427		7.102553	-2.331378	6.395313	-0.008312	-0.022705	-0.009930	-0.089844	0.394775	-0.497803	0.854831	-0.246637	-0.343844	-0.300343
38428		7.074144	-2.303013	6.416392	-0.009874	-0.022502	-0.004065	-0.086914	0.402344	-0.500488	0.854756	-0.246791	-0.343953	-0.300304
38429		7.115867	-2.289676	6.456851	-0.011363	-0.013488	0.006026	-0.087158	0.404053	-0.502197	0.854731	-0.246996	-0.343930	-0.300233
38430		7.159838	-2.252784	6.501653	-0.014388	0.007362	0.013833	-0.088379	0.391846	-0.501953	0.854782	-0.247199	-0.343719	-0.300163
38431		7.044949	-2.194240	6.426813	-0.013482	0.019890	0.012772	-0.086182	0.399414	-0.491699	0.854891	-0.247283	-0.343453	-0.300087
38432		7.078752	-2.161814	6.442826	-0.015452	0.022427	0.012491	-0.087402	0.404785	-0.498291	0.854995	-0.247438	-0.343122	-0.300042
38433		7.085856	-2.173205	6.423411	-0.017485	0.027563	0.014948	-0.086426	0.401367	-0.499023	0.855109	-0.247614	-0.342733	-0.300017
38434		7.142377	-2.176202	6.405221	-0.016852	0.031629	0.017240	-0.093262	0.401855	-0.501221	0.855252	-0.247750	-0.342315	-0.299974
38435		7.155335	-2.182329	6.398284	-0.016731	0.041815	0.025050	-0.079346	0.402832	-0.505859	0.855421	-0.247882	-0.341850	-0.299914
38436		7.122756	-2.124168	6.347291	-0.014042	0.044239	0.019188	-0.088379	0.407471	-0.505615	0.855638	-0.247945	-0.341296	-0.299873
38437		7.121896	-2.096004	6.292560	-0.011129	0.036032	0.017490	-0.093506	0.398438	-0.500977	0.855792	-0.248043	-0.340861	-0.299847
38438		7.206480	-2.117412	6.325000	-0.010766	0.027662	0.016805	-0.092041	0.401123	-0.497559	0.855907	-0.248102	-0.340570	-0.299801
38439		7.227869	-2.111599	6.287244	-0.009685	0.028207	0.016318	-0.090088	0.406006	-0.496582	0.856018	-0.248176	-0.340274	-0.299760
38440		7.165458	-2.066714	6.264068	-0.007543	0.022545	0.011618	-0.091797	0.402832	-0.500000	0.856099	-0.248273	-0.340015	-0.299741
38441		7.265914	-2.075173	6.317628	-0.012422	0.020471	0.012244	-0.090332	0.404785	-0.497314	0.856164	-0.248370	-0.339789	-0.299732
38442		7.216333	-2.097938	6.265542	-0.004610	0.021785	0.010564	-0.083740	0.414551	-0.495605	0.856239	-0.248423	-0.339573	-0.299719
38443		7.219657	-2.030549	6.264771	0.000697	0.013593	0.003428	-0.085449	0.397949	-0.503418	0.856288	-0.248520	-0.339366	-0.299732
38444		7.273868	-2.060217	6.284345	-0.010578	0.021300	0.002391	-0.081787	0.401855	-0.495117	0.856360	-0.248499	-0.339157	-0.299779
38445		7.189496	-2.073159	6.212188	-0.008231	0.019967	-0.006646	-0.084961	0.396240	-0.495605	0.856403	-0.248501	-0.338958	-0.299880
38446		7.255778	-2.068715	6.224743	-0.012431	0.012608	-0.010193	-0.091553	0.399414	-0.501709	0.856401	-0.248491	-0.338867	-0.299999
38447		7.234708	-2.149264	6.206610	-0.007011	0.014601	-0.009511	-0.089111	0.403809	-0.501221	0.856389	-0.248441	-0.338820	-0.300127
38448		7.167998	-2.104584	6.149518	0.000297	-0.002228	-0.013406	-0.083496	0.401367	-0.494385	0.856334	-0.248412	-0.338887	-0.300232
38449		7.235780	-2.146659	6.206262	0.001006	-0.014316	-0.011531	-0.086914	0.407227	-0.495605	0.856266	-0.248426	-0.339007	-0.300278
38450		7.233882	-2.169821	6.201370	0.007021	-0.023174	-0.009826	-0.087158	0.394287	-0.499023	0.856162	-0.248479	-0.339209	-0.300305
38451		7.266171	-2.138743	6.201683	0.007161	-0.029790	-0.009118	-0.088135	0.397705	-0.499756	0.856076	-0.248402	-0.339518	-0.300264
38452		7.226179	-2.184979	6.234317	0.015073	-0.037873	-0.007491	-0.098633	0.399902	-0.504395	0.855975	-0.248326	-0.339897	-0.300186
38453		7.259724	-2.159994	6.295273	0.015995	-0.038164	-0.009327	-0.091064	0.402588	-0.495117	0.855817	-0.248244	-0.340376	-0.300159
38454		7.206905	-2.174564	6.299664	0.013126	-0.040702	-0.007926	-0.086914	0.399658	-0.492920	0.855663	-0.248280	-0.340768	-0.300126
38455		7.176359	-2.170623	6.337077	0.014271	-0.042752	-0.011154	-0.091064	0.407715	-0.495117	0.855526	-0.248285	-0.341149	-0.300079
38456		7.134292	-2.195687	6.340013	0.010685	-0.042082	-0.006075	-0.090088	0.399902	-0.497803	0.855354	-0.248410	-0.341502	-0.300064
38457		7.100769	-2.173717	6.368873	0.009278	-0.044291	-0.008293	-0.094971	0.404297	-0.497070	0.855211	-0.248432	-0.341896	-0.300006
38458		7.172319	-2.215660	6.421580	0.006438	-0.040088	-0.003155	-0.093018	0.406006	-0.499756	0.855042	-0.248540	-0.342262	-0.299979
38459		7.122795	-2.206734	6.429648	0.012825	-0.024195	0.000046	-0.089600	0.404297	-0.496094	0.854959	-0.248570	-0.342487	-0.299936
38460		7.040883	-2.162176	6.401337	0.014057	-0.022105	-0.002188	-0.095703	0.403564	-0.490723	0.854898	-0.248585	-0.342663	-0.299894
38461		7.040188	-2.146367	6.432286	0.011320	-0.017725	-0.002379	-0.094971	0.403076	-0.500000	0.854792	-0.248648	-0.342865	-0.299914
38462		7.062730	-2.162930	6.407817	0.009061	-0.014086	-0.007950	-0.089111	0.398926	-0.490234	0.854719	-0.248616	-0.343042	-0.299947
38463		7.075044	-2.178042	6.467380	0.006474	-0.008163	-0.009886	-0.093750	0.402832	-0.505859	0.854679	-0.248606	-0.343110	-0.299991
38464		7.117900	-2.174160	6.457138	0.000262	0.009173	-0.006445	-0.095215	0.402344	-0.500488	0.854693	-0.248527	-0.343075	-0.300057
38465		7.051856	-2.187411	6.374056	-0.000219	0.014814	-0.012945	-0.087158	0.400635	-0.491943	0.854680	-0.248458	-0.343025	-0.300207
38466		7.117183	-2.218060	6.330075	-0.004024	0.013982	-0.015885	-0.085205	0.401611	-0.495605	0.854684	-0.248459	-0.342872	-0.300370
38467		7.097396	-2.252000	6.285933	-0.009980	0.011360	-0.014759	-0.090088	0.405518	-0.494873	0.854694	-0.248492	-0.342692	-0.300519
38468		7.094103	-2.232415	6.278027	-0.009505	0.002467	-0.017685	-0.086914	0.402344	-0.502441	0.854618	-0.248601	-0.342621	-0.300727
38469		7.158157	-2.253803	6.306389	-0.015279	0.004169	-0.020905	-0.093262	0.397461	-0.499512	0.854594	-0.248620	-0.342515	-0.300901
38470		7.147994	-2.242729	6.307592	-0.020358	0.007336	-0.024569	-0.090820	0.408447	-0.498291	0.854526	-0.248615	-0.342494	-0.301119
38471		7.133598	-2.259116	6.326788	-0.026240	0.009565	-0.025549	-0.091553	0.403076	-0.501465	0.854416	-0.248811	-0.342339	-0.301448
38472		7.144101	-2.271566	6.346247	-0.033914	0.010501	-0.028699	-0.084717	0.402100	-0.499512	0.854318	-0.248940	-0.342211	-0.301765
38473		7.125400	-2.313946	6.362506	-0.039520	0.012335	-0.027484	-0.087158	0.396729	-0.493408	0.854266	-0.249105	-0.341963	-0.302056
38474		7.071879	-2.307399	6.374235	-0.039989	0.016572	-0.027800	-0.085449	0.404053	-0.499512	0.854209	-0.249240	-0.341747	-0.302349
38475		7.088728	-2.310248	6.364006	-0.038741	0.017245	-0.023848	-0.080566	0.399658	-0.497314	0.854176	-0.249415	-0.341455	-0.302629
38476		7.080711	-2.325166	6.415155	-0.039375	0.016426	-0.016725	-0.078369	0.396729	-0.495850	0.854207	-0.249568	-0.341111	-0.302803
38477		7.072204	-2.340742	6.466582	-0.036965	0.021780	-0.012252	-0.093750	0.405273	-0.503174	0.854296	-0.249667	-0.340714	-0.302916
38478		7.036233	-2.255336	6.499324	-0.036920	0.030589	-0.008009	-0.085938	0.403564	-0.497070	0.854296	-0.249809	-0.340420	-0.303132
38479		7.025314	-2.264904	6.490950	-0.041841	0.041338	-0.006584	-0.087891	0.403076	-0.501221	0.854364	-0.249990	-0.339929	-0.303342
38480		7.017519	-2.254981	6.527527	-0.047352	0.050111	-0.006973	-0.093018	0.400146	-0.491455	0.854448	-0.250130	-0.339402	-0.303577
38481		6.983554	-2.245515	6.523379	-0.053366	0.060329	-0.005077	-0.086426	0.406250	-0.492676	0.854480	-0.250351	-0.338869	-0.303903
38482		7.019209	-2.252738	6.560130	-0.054789	0.073053	-0.006004	-0.087646	0.396240	-0.493408	0.854579	-0.250606	-0.338119	-0.304249
38483		7.070879	-2.262328	6.587847	-0.057755	0.087300	0.002527	-0.092285	0.404053	-0.499756	0.854765	-0.250706	-0.337334	-0.304514
38484		7.092282	-2.258498	6.608855	-0.059472	0.107192	0.003141	-0.084961	0.404053	-0.488525	0.854961	-0.250808	-0.336438	-0.304872
38485		7.105769	-2.205377	6.512645	-0.059409	0.119472	0.011453	-0.093506	0.406250	-0.488281	0.855216	-0.251013	-0.335329	-0.305209
38486		7.202404	-2.198165	6.465148	-0.058192	0.129725	0.016531	-0.089111	0.408447	-0.487549	0.855422	-0.251232	-0.334267	-0.305616
38487		7.184854	-2.174880	6.368428	-0.047155	0.140117	0.023866	-0.084229	0.403320	-0.498779	0.855716	-0.251392	-0.333086	-0.305952
38488		7.207128	-2.129300	6.254491	-0.038824	0.133230	0.025921	-0.093750	0.395752	-0.489990	0.856127	-0.251289	-0.331978	-0.306088
38489		7.268946	-2.110286	6.168476	-0.030810	0.123195	0.031478	-0.083252	0.407959	-0.489746	0.856432	-0.251168	-0.331152	-0.306230
38490		7.371245	-2.112892	6.068739	-0.018901	0.103880	0.036639	-0.084473	0.405273	-0.493408	0.856745	-0.251204	-0.330264	-0.306285
38491		7.391579	-2.073580	5.960712	0.004432	0.082416	0.037785	-0.088135	0.396484	-0.483398	0.857061	-0.251043	-0.329657	-0.306186
38492		7.466998	-2.009541	5.937901	0.015193	0.058348	0.042464	-0.089600	0.408691	-0.492676	0.857284	-0.250878	-0.329353	-0.306026
38493		7.476439	-1.990246	5.885163	0.025553	0.040723	0.037575	-0.084473	0.402100	-0.486572	0.857432	-0.250755	-0.329184	-0.305892
38494		7.463668	-1.899015	5.921762	0.028977	0.016709	0.024770	-0.083008	0.401123	-0.493164	0.857528	-0.250605	-0.329193	-0.305738
38495		7.421318	-1.857657	5.926938	0.016321	-0.013065	0.004391	-0.080078	0.401367	-0.489502	0.857518	-0.250462	-0.329443	-0.305614
38496		7.426793	-1.840325	6.009466	0.009819	-0.039261	-0.025441	-0.086670	0.404053	-0.493164	0.857344	-0.250404	-0.329872	-0.305685
38497		7.430275	-1.852271	6.147622	-0.002432	-0.055475	-0.061028	-0.089355	0.398193	-0.488281	0.856953	-0.250386	-0.330545	-0.306070
38498		7.314844	-1.937290	6.209590	-0.030170	-0.067362	-0.080829	-0.089355	0.400879	-0.502441	0.856406	-0.250509	-0.331335	-0.306647
38499		7.238133	-2.133543	6.287943	-0.031662	-0.078310	-0.101597	-0.081055	0.409668	-0.489502	0.855868	-0.250447	-0.332261	-0.307195
38500		7.103428	-2.288116	6.401141	-0.006753	-0.084311	-0.098320	-0.090332	0.404541	-0.484619	0.855320	-0.250554	-0.333016	-0.307817
38501		7.035582	-2.361988	6.411435	0.015210	-0.079529	-0.076374	-0.093506	0.403320	-0.487793	0.854803	-0.250550	-0.333885	-0.308315
38502		6.907597	-2.351108	6.433075	0.037398	-0.079457	-0.043437	-0.088379	0.407471	-0.497070	0.854432	-0.250415	-0.334789	-0.308472
38503		6.878949	-2.321196	6.437842	0.049521	-0.088644	-0.016167	-0.088623	0.412109	-0.493164	0.854232	-0.250228	-0.335638	-0.308255
38504		7.002646	-2.288377	6.496417	0.064305	-0.089808	-0.004375	-0.078369	0.408936	-0.491699	0.854027	-0.250127	-0.336429	-0.308042
38505		6.983129	-2.273550	6.542303	0.078082	-0.074882	-0.002338	-0.079590	0.407227	-0.491455	0.854019	-0.249848	-0.336999	-0.307666
38506		7.003366	-2.175035	6.422748	0.078336	-0.063519	-0.008300	-0.087891	0.410889	-0.499756	0.854026	-0.249510	-0.337518	-0.307353
38507		7.078571	-2.146498	6.305843	0.062445	-0.062250	-0.012949	-0.087158	0.396973	-0.488037	0.853936	-0.249250	-0.338101	-0.307174
38508		7.151606	-2.288095	6.167953	0.055926	-0.072130	-0.023655	-0.086182	0.407471	-0.489746	0.853809	-0.248944	-0.338821	-0.306980
38509		7.206464	-2.297091	6.179772	0.057488	-0.081787	-0.030709	-0.088623	0.404297	-0.494385	0.853582	-0.248820	-0.339505	-0.306958
38510		7.247505	-2.361813	6.173279	0.051936	-0.092778	-0.030349	-0.092041	0.401855	-0.497070	0.853348	-0.248654	-0.340318	-0.306843
38511		7.126991	-2.384896	6.170195	0.052950	-0.108023	-0.023729	-0.090576	0.404053	-0.498047	0.853097	-0.248472	-0.341292	-0.306606
38512		7.125999	-2.408316	6.300667	0.050269	-0.128116	-0.016630	-0.089355	0.395996	-0.494385	0.852809	-0.248418	-0.342327	-0.306295
38513		7.162077	-2.390107	6.382380	0.045198	-0.127774	-0.007968	-0.094727	0.404297	-0.498535	0.852590	-0.248329	-0.343351	-0.305831
38514		7.105619	-2.335154	6.406393	0.038686	-0.124273	-0.001364	-0.091553	0.402100	-0.496338	0.852303	-0.248414	-0.344313	-0.305481
38515		7.130612	-2.258559	6.422225	0.033749	-0.118161	-0.003227	-0.094238	0.407715	-0.499023	0.852059	-0.248501	-0.345170	-0.305124
38516		7.090402	-2.205524	6.437230	0.037486	-0.102823	-0.011076	-0.096680	0.399414	-0.498291	0.851805	-0.248575	-0.345923	-0.304920
38517		7.067656	-2.114442	6.478606	0.031400	-0.091200	-0.015370	-0.097656	0.403076	-0.495361	0.851597	-0.248515	-0.346675	-0.304694
38518		7.041675	-2.152929	6.517702	0.018546	-0.073892	-0.009310	-0.090820	0.408691	-0.496826	0.851382	-0.248631	-0.347216	-0.304586
38519		7.014382	-2.148891	6.552946	0.026225	-0.060617	-0.001806	-0.093750	0.408936	-0.499268	0.851282	-0.248753	-0.347511	-0.304431
38520		7.065851	-2.160914	6.545740	0.046926	-0.042914	0.009102	-0.093018	0.404297	-0.499023	0.851291	-0.248692	-0.347747	-0.304183
38521		7.090362	-2.085203	6.488468	0.066682	-0.026985	0.021335	-0.094238	0.397949	-0.501465	0.851453	-0.248413	-0.347914	-0.303767
38522		7.081080	-2.020611	6.421568	0.070634	-0.023402	0.031440	-0.098877	0.413086	-0.504395	0.851696	-0.247997	-0.348114	-0.303195
38523		7.094315	-1.989827	6.476254	0.076536	-0.018843	0.036101	-0.097168	0.395508	-0.507080	0.851853	-0.247785	-0.348236	-0.302789
38524		7.001334	-1.944718	6.555440	0.075092	-0.019152	0.039716	-0.096924	0.405029	-0.495850	0.852137	-0.247278	-0.348458	-0.302147
38525		6.997329	-1.915385	6.662983	0.086584	-0.012024	0.028947	-0.099854	0.405029	-0.505859	0.852328	-0.246939	-0.348585	-0.301740
38526		7.007872	-1.920688	6.684687	0.088016	0.004071	0.018091	-0.104004	0.402588	-0.498779	0.852555	-0.246422	-0.348673	-0.301418
38527		7.001126	-1.930457	6.624715	0.090123	0.020420	-0.002169	-0.095215	0.396240	-0.500732	0.852728	-0.245838	-0.348759	-0.301306
38528		6.915695	-2.023391	6.610747	0.103276	0.016768	-0.024456	-0.096924	0.397705	-0.502197	0.852967	-0.244995	-0.348861	-0.301197
38529		6.943710	-2.115798	6.698373	0.109225	0.003906	-0.023802	-0.089600	0.395508	-0.497314	0.853160	-0.244172	-0.349076	-0.301071
38530		6.939938	-2.176636	6.768813	0.110876	0.008087	0.003776	-0.102539	0.400635	-0.499023	0.853481	-0.243442	-0.349100	-0.300724
38531		6.813147	-2.184988	6.732447	0.107876	0.007191	0.021720	-0.093994	0.394287	-0.504395	0.853710	-0.242872	-0.349238	-0.300374
38532		6.806970	-2.149930	6.843409	0.113695	0.001482	0.033688	-0.095703	0.399170	-0.507324	0.854076	-0.242173	-0.349320	-0.299804
38533		6.726348	-2.179671	7.043579	0.115360	0.008082	0.041232	-0.091553	0.393311	-0.504395	0.854446	-0.241536	-0.349332	-0.299248
38534		6.657613	-2.190774	7.205154	0.116691	0.027871	0.047233	-0.093262	0.384766	-0.502686	0.854933	-0.240813	-0.349166	-0.298634
38535		6.583214	-2.236270	7.272993	0.118714	0.056575	0.053308	-0.086426	0.396484	-0.504150	0.855537	-0.239920	-0.348870	-0.297969
38536		6.488172	-2.234418	7.327228	0.117340	0.081541	0.050583	-0.085205	0.391113	-0.507324	0.856188	-0.239159	-0.348217	-0.297472
38537		6.466740	-2.322238	7.385654	0.116295	0.100789	0.049941	-0.092041	0.386963	-0.508057	0.856920	-0.238263	-0.347449	-0.296981
38538		6.551593	-2.402232	7.446976	0.126295	0.137924	0.062160	-0.088135	0.386475	-0.508057	0.857769	-0.237182	-0.346554	-0.296442
38539		6.408574	-2.347888	7.442802	0.115954	0.182571	0.092037	-0.086182	0.382812	-0.505127	0.858809	-0.236167	-0.345211	-0.295806
38540		6.196601	-2.319290	7.418158	0.101391	0.195532	0.111047	-0.088379	0.376221	-0.506836	0.859904	-0.235269	-0.343714	-0.295084
38541		6.298864	-2.449430	7.630808	0.103621	0.215404	0.124631	-0.083008	0.370361	-0.497559	0.861088	-0.234244	-0.342153	-0.294260
38542		6.343811	-2.477171	7.741780	0.121781	0.264292	0.139187	-0.083740	0.363281	-0.510742	0.862487	-0.233029	-0.340232	-0.293352
38543		6.395063	-2.415437	7.658029	0.126352	0.319667	0.148996	-0.081055	0.379639	-0.498291	0.864112	-0.231463	-0.337998	-0.292392
38544		6.335600	-2.337437	7.579165	0.113010	0.352987	0.158128	-0.075684	0.370850	-0.503906	0.865675	-0.230347	-0.335349	-0.291698
38545		6.228436	-2.309654	7.560351	0.103926	0.375060	0.167755	-0.087891	0.363281	-0.503418	0.867365	-0.229094	-0.332528	-0.290895
38546		6.268919	-2.387872	7.663721	0.090785	0.389153	0.171699	-0.074951	0.363770	-0.495361	0.868967	-0.227838	-0.329829	-0.290169
38547		6.290039	-2.395569	7.660214	0.107174	0.418292	0.171082	-0.076904	0.361084	-0.500732	0.870687	-0.226505	-0.326788	-0.289497
38548		6.311439	-2.396552	7.578212	0.118462	0.444331	0.165283	-0.080811	0.367188	-0.492188	0.872461	-0.224944	-0.323680	-0.288865
38549		6.383025	-2.409082	7.532509	0.115634	0.464174	0.162621	-0.074219	0.353027	-0.492676	0.874154	-0.223554	-0.320387	-0.288497
38550		6.410850	-2.423573	7.477598	0.101651	0.486351	0.170353	-0.079590	0.353516	-0.487549	0.876043	-0.222048	-0.316786	-0.287907
38551		6.371944	-2.402727	7.422784	0.089477	0.496692	0.181996	-0.080322	0.353760	-0.496826	0.877976	-0.220675	-0.312933	-0.287287
38552		6.345637	-2.372538	7.410835	0.078846	0.493039	0.190636	-0.078125	0.346436	-0.484131	0.879900	-0.219400	-0.309033	-0.286599
38553		6.361840	-2.344689	7.412264	0.066822	0.496551	0.186803	-0.078369	0.350342	-0.481689	0.881783	-0.218191	-0.305077	-0.285971
38554		6.399927	-2.317132	7.457726	0.054760	0.494895	0.187436	-0.076904	0.346191	-0.490234	0.883623	-0.217073	-0.301097	-0.285360
38555		6.405933	-2.302033	7.490079	0.034047	0.504019	0.187907	-0.079590	0.344482	-0.484375	0.885430	-0.216082	-0.296996	-0.284809
38556		6.312418	-2.358722	7.561737	0.025456	0.512898	0.199571	-0.077393	0.350586	-0.479492	0.887251	-0.215159	-0.292783	-0.284202
38557		6.158260	-2.391743	7.596112	0.042388	0.513683	0.203732	-0.090332	0.343506	-0.482910	0.889094	-0.214115	-0.288591	-0.283518
38558		6.114551	-2.367685	7.520103	0.065765	0.510242	0.202792	-0.084229	0.347900	-0.483887	0.890947	-0.212899	-0.284476	-0.282772
38559		6.067155	-2.302770	7.517827	0.068670	0.499514	0.202589	-0.082764	0.349121	-0.485107	0.892760	-0.211683	-0.280444	-0.281996
38560		5.872040	-2.266354	7.626452	0.052886	0.471123	0.203380	-0.097656	0.347900	-0.487793	0.894460	-0.210648	-0.276581	-0.281195
38561		5.928336	-2.416803	7.980142	0.045554	0.464173	0.200955	-0.102051	0.346924	-0.480957	0.896109	-0.209676	-0.272753	-0.280412
38562		6.088961	-2.424716	8.181976	0.048664	0.498596	0.208095	-0.097900	0.347412	-0.488525	0.897839	-0.208611	-0.268657	-0.279623
38563		5.849799	-2.423043	8.052322	0.051758	0.536005	0.204435	-0.104736	0.351562	-0.489014	0.899629	-0.207424	-0.264291	-0.278914
38564		5.604440	-2.366364	7.931529	0.044893	0.524182	0.185798	-0.103271	0.348633	-0.487793	0.901317	-0.206269	-0.260024	-0.278332
38565		5.523322	-2.484530	8.112750	0.021661	0.505516	0.190732	-0.124023	0.358398	-0.495361	0.902914	-0.205339	-0.255831	-0.277726
38566		5.701061	-2.599856	8.237872	0.022630	0.513633	0.192546	-0.115479	0.358887	-0.487061	0.904516	-0.204383	-0.251570	-0.277113
38567		5.793023	-2.574667	8.061740	0.038389	0.550855	0.188647	-0.127197	0.368164	-0.505371	0.906191	-0.203209	-0.247068	-0.276553
38568		5.548454	-2.432436	7.874560	0.026850	0.550564	0.176692	-0.134033	0.363037	-0.499023	0.907796	-0.202095	-0.242557	-0.276099
